INFO 2024-09-08 20:51:05,590 autoreload Watching for file changes with StatReloader
DEBUG 2024-09-08 20:51:05,597 autoreload Waiting for apps ready_event.
DEBUG 2024-09-08 20:51:05,628 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-09-08 20:51:05,647 autoreload Watching dir /home/joe/Python/Django/books/project/templates with glob **/*.
DEBUG 2024-09-08 20:51:05,709 autoreload Watching dir /home/joe/Python/Django/books/project/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,709 autoreload Watching dir /home/joe/Python/Django/books/project/apps/accounts/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,714 autoreload Watching dir /home/joe/Python/Django/books/project/apps/core/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,714 autoreload Watching dir /home/joe/Python/Django/books/project/apps/books/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,714 autoreload Watching dir /home/joe/Python/Django/books/project/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,714 autoreload Watching dir /home/www/project/common_files/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,715 autoreload Watching dir /var/local/translations/locale with glob **/*.mo.
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/sessions/apps.py first seen with mtime 1725658127.0185533
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1725658127.1035109
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/files/utils.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/urls/resolvers.py first seen with mtime 1725658127.141492
DEBUG 2024-09-08 20:51:05,808 autoreload File /usr/lib/python3.10/abc.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,808 autoreload File /usr/lib/python3.10/importlib/__init__.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1725658127.077524
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/mail/__init__.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,808 autoreload File /home/joe/Python/Django/books/project/apps/accounts/__init__.py first seen with mtime 1718489167.0546446
DEBUG 2024-09-08 20:51:05,808 autoreload File /usr/lib/python3.10/copy.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/checks/async_checks.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/PIL/__init__.py first seen with mtime 1724489187.1057398
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/inspect.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/logging/config.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/psycopg2/_range.py first seen with mtime 1724285402.2417533
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/re.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/messages/constants.py first seen with mtime 1725658126.9565842
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/asyncio/threads.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/checks/templates.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/middleware/security.py first seen with mtime 1725658127.1334958
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/importlib/_abc.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1725658127.1384933
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/db/models/functions/text.py first seen with mtime 1725658127.1035109
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/templatetags/cache.py first seen with mtime 1725658127.1384933
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/timezone.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/hashable.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/translation/trans_real.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/http/client.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /usr/lib/python3.10/wsgiref/simple_server.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/template/backends/base.py first seen with mtime 1725658127.1364944
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/forms/fields.py first seen with mtime 1725658127.1035109
DEBUG 2024-09-08 20:51:05,809 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1725658126.7626812
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/http/multipartparser.py first seen with mtime 1725658127.131497
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/urllib/parse.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1725658126.8026614
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/asyncio/streams.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1725658127.1035109
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/template/utils.py first seen with mtime 1725658127.1364944
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/text.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/urllib/error.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/template/engine.py first seen with mtime 1725658127.135495
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/lib-dynload/_hashlib.cpython-310-x86_64-linux-gnu.so first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1725658126.7306974
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/template/loader.py first seen with mtime 1725658127.135495
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/project/apps/accounts/forms.py first seen with mtime 1725569341.9700477
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/difflib.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1725658127.077524
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/urls/base.py first seen with mtime 1725658127.141492
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/views/defaults.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/concurrent/futures/_base.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/functional.py first seen with mtime 1725658127.1434908
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/project/apps/core/apps.py first seen with mtime 1718528479.986597
DEBUG 2024-09-08 20:51:05,810 autoreload File /usr/lib/python3.10/asyncio/locks.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/PIL/Image.py first seen with mtime 1724489187.0347042
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/management/commands/runserver.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,810 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1725658127.077524
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/project/apps/core/views.py first seen with mtime 1722354541.5201437
DEBUG 2024-09-08 20:51:05,811 autoreload File /usr/lib/python3.10/linecache.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1725658127.131497
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/db/backends/base/operations.py first seen with mtime 1725658127.0925164
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1725658127.0205524
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/utils/_os.py first seen with mtime 1725658127.141492
DEBUG 2024-09-08 20:51:05,811 autoreload File /usr/lib/python3.10/warnings.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/serializers/python.py first seen with mtime 1725658127.0925164
DEBUG 2024-09-08 20:51:05,811 autoreload File /usr/lib/python3.10/html/entities.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/core/handlers/asgi.py first seen with mtime 1725658127.0825214
DEBUG 2024-09-08 20:51:05,811 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1722272208.0
DEBUG 2024-09-08 20:51:05,811 autoreload File /home/joe/Python/Django/books/venv/lib/python3.10/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1725658126.8026614
